"","H1.Bulk.28.FD.mapped.bam","H1.Bulk.29.mapped.bam","H1.Bulk.30.mapped.bam","H1.Bulk.Litter.4.mapped.bam","H1.Bulk.Litter.5.mapped.bam","H1.Bulk.Litter.6.mapped.bam","H1.Rhizo.25.mapped.bam","H1.Rhizo.26.FD.mapped.bam","H1.Rhizo.27.mapped.bam","H1.Rhizo.Litter.1.mapped.bam","H1.Rhizo.Litter.2.mapped.bam","H1.Rhizo.Litter.3.mapped.bam","H2.Bulk.34.mapped.bam","H2.Bulk.35.mapped.bam","H2.Bulk.36.mapped.bam","H2.Bulk.Litter.10.mapped.bam","H2.Bulk.Litter.11.mapped.bam","H2.Bulk.Litter.12.mapped.bam","H2.Bulk.Litter.50.mapped.bam","H2.Rhizo.31.mapped.bam","H2.Rhizo.32.mapped.bam","H2.Rhizo.33.mapped.bam","H2.Rhizo.Litter.49.mapped.bam","H2.Rhizo.Litter.7.mapped.bam","H2.Rhizo.Litter.8.mapped.bam","H2.Rhizo.Litter.9.mapped.bam","H3.Bulk.40.mapped.bam","H3.Bulk.41.mapped.bam","H3.Bulk.42.mapped.bam","H3.Bulk.Litter.16.mapped.bam","H3.Bulk.Litter.17.mapped.bam","H3.Rhizo.37.mapped.bam","H3.Rhizo.39.mapped.bam","H3.Rhizo.Litter.13.mapped.bam","H3.Rhizo.Litter.14.mapped.bam","H3.Rhizo.Litter.15.mapped.bam","H4.Bulk.46.mapped.bam","H4.Bulk.47.mapped.bam","H4.Bulk.48.mapped.bam","H4.Bulk.Litter.22.mapped.bam","H4.Bulk.Litter.23.mapped.bam","H4.Bulk.Litter.24.mapped.bam","H4.Rhizo.43.mapped.bam","H4.Rhizo.44.mapped.bam","H4.Rhizo.45.mapped.bam","H4.Rhizo.Litter.19.mapped.bam","H4.Rhizo.Litter.20.mapped.bam","H4.Rhizo.Litter.21.mapped.bam"
"H1_Rhizo_Litter_1_scaffold_15696_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_Bulk_47_scaffold_19236_1",1,2,4,1,3,2,2,0,3,5,7,3,0,0,1,3,3,4,5,9,0,5,6,4,0,0,3,2,0,3,3,1,0,6,8,5,0,6,0,2,12,4,2,7,2,4,12,22
"H4_Rhizo_Litter_20_scaffold_11523_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_Rhizo_Litter_21_scaffold_18017_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_Litter_49_scaffold_58358_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10981_1",4,10,8,6,9,4,5,15,13,6,8,6,2,9,1,1,3,5,5,8,6,13,17,9,10,2,6,3,2,3,5,7,0,3,14,3,8,4,1,22,5,12,9,7,11,9,10,6
"H3_Rhizo_Litter_15_scaffold_11678_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Rhizo_Litter_14_scaffold_31765_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_Bulk_Litter_24_scaffold_8225_1",0,0,2,1,2,8,0,0,1,5,3,4,0,1,0,3,4,4,0,1,0,1,2,6,2,0,0,1,0,1,4,0,0,0,1,4,0,0,0,3,5,3,2,0,3,4,5,11
"H2_Rhizo_Litter_49_scaffold_63745_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_30_scaffold_9592_1",22,20,22,14,13,14,20,19,16,14,18,4,29,23,20,13,7,12,9,7,35,24,20,7,17,0,7,29,5,11,4,26,0,10,9,6,1,2,2,4,0,13,6,2,25,4,2,10
"H1_Rhizo_Litter_3_28527_1",37,14,11,10,9,8,9,2,10,32,19,30,27,6,14,3,10,14,8,24,8,14,19,6,62,0,3,7,3,2,16,5,0,8,3,2,2,3,2,0,0,1,1,3,1,2,3,3
"H3_Bulk_41_scaffold_29185_1",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"H4_Rhizo_43_scaffold_26500_1",26,19,11,10,18,10,31,29,24,12,18,16,10,11,24,3,12,8,6,23,35,36,54,16,22,6,12,12,17,8,17,22,0,8,20,7,26,29,20,32,12,41,48,29,50,29,24,35
"H3_Bulk_Litter_17_scaffold_28657_1",1,2,1,0,1,0,3,8,7,4,9,3,0,0,0,3,0,0,0,0,10,9,8,9,17,0,13,0,11,6,51,1,0,2,2,7,2,6,1,10,1,33,0,3,2,6,3,15
"H4_Bulk_Litter_24_scaffold_26402_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H4_Bulk_Litter_22_scaffold_23773_1",15,13,5,9,13,6,39,26,27,9,12,11,15,14,18,6,10,3,7,24,21,18,42,10,26,2,14,25,18,13,27,16,0,8,14,11,6,48,14,59,7,132,26,18,17,16,11,42
"H2_Rhizo_33_scaffold_24787_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Rhizo_Litter_3_11620_1",4,4,2,0,3,1,19,46,15,10,25,18,4,0,1,0,1,3,2,12,12,7,16,16,28,2,13,3,15,10,40,11,0,11,5,11,2,1,0,4,0,14,1,0,3,5,0,8
"H3_Bulk_Litter_17_scaffold_4604_2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Rhizo_27_scaffold_23339_1",2,5,5,5,13,1,30,56,44,13,53,24,14,1,8,8,5,5,2,13,24,13,25,30,49,2,32,7,22,20,71,14,0,14,9,19,2,5,2,18,1,28,1,6,1,6,0,9
"H2_Bulk_Litter_12_scaffold_28307_1",2,0,1,2,5,3,0,1,1,4,1,3,1,0,0,8,0,11,2,2,0,0,13,2,5,0,1,0,1,3,0,0,0,0,2,5,5,1,1,17,12,5,0,0,2,13,7,0
"H2_Bulk_Litter_50_scaffold_28277_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_Litter_49_scaffold_40466_2",2,2,4,1,1,2,9,24,8,4,13,3,5,2,3,2,0,1,2,6,7,3,14,5,14,0,9,3,5,3,22,13,0,4,1,3,1,2,0,3,0,8,0,0,1,0,0,3
"H4_Bulk_Litter_24_scaffold_17711_2",6,6,1,0,4,2,6,14,5,5,6,0,3,3,6,1,4,0,2,5,12,2,15,9,14,0,2,3,2,4,8,6,0,3,1,4,3,8,2,23,2,37,4,7,8,11,4,25
"H3_Bulk_Litter_17_scaffold_35066_1",1,0,0,0,0,1,4,17,10,6,9,8,3,1,4,1,3,0,0,2,14,8,11,10,27,0,11,0,7,4,46,6,0,12,4,1,3,7,2,4,0,12,1,0,4,2,3,7
"H2_Rhizo_Litter_8_scaffold_15944_1",13,15,5,12,16,3,29,22,11,5,16,7,16,5,10,3,8,4,5,10,20,13,16,20,27,4,23,23,33,8,21,19,1,10,9,8,3,8,3,12,1,28,9,5,7,5,2,8
"H3_Bulk_Litter_17_scaffold_8185_2",1,0,0,0,1,6,0,0,1,1,0,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,123,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
